id,map_address,lat,lng
98,서울시 관악구 남부순환로210길 6,37.48058205,126.9442134
99,서울시 관악구 대학5길 6,37.4692714,126.9397579
100,서울시 관악구 신림로59길 15-13,37.4826274,126.9295951
101,서울시 관악구 남부순환로233길 7,37.480355,126.9587632
1926,서울시 관악구 관천로 37,37.4870933,126.9233601
102,서울시 관악구 신원로 35,37.4817824,126.929469
103,서울시 관악구 호암로26길 57,37.4704161,126.9355531
104,서울시 관악구 봉천로 356,37.482511,126.9492377
105,서울시 관악구 신림동길 32-1,37.4873064,126.9274158
106,서울시 관악구 봉천로 592,37.47642005,126.9629137
107,서울시 관악구 과천대로 953,37.4749153,126.981661
108,서울시 관악구 신림로 330,37.48377515,126.9301443
109,서울시 관악구 원신길 84,37.4695302,126.9317679
110,서울시 관악구 과천대로 909,37.4749153,126.981661
111,서울시 관악구 인헌12길 42,37.4707644,126.9650659
112,서울시 관악구 보라매로3길 3,37.4915152,126.9255097
113,서울시 관악구 양녕로 38-1,37.4824811,126.9464333
114,서울시 관악구 관천로 61,37.4870933,126.9233601
115,서울시 관악구 봉천로 219-8,37.482511,126.9492377
116,서울시 관악구 조원중앙로 24,37.4817323,126.9058809
117,서울시 관악구 신림동7길 15,37.485668,126.926492
118,서울시 관악구 관천로11길 155,37.4837674,126.9214037
777,서울시 관악구 신림로70길 27,37.4876038,126.9304548
120,서울시 관악구 인헌6길 24,37.47412245,126.9655099
121,서울시 관악구 신림로 344,37.48514975,126.9299697
122,서울시 관악구 신림로66길 20,37.4855518,126.931203
123,서울시 관악구 조원로2가길 5,37.4827386,126.9047083
124,서울시 관악구 신림로 359,37.4717526,126.9335068
125,서울시 관악구 신림로64길 11,37.4852402,126.9323852
127,서울시 관악구 남부순환로230길 50,37.4777259,126.9552387
128,서울시 관악구 난곡로 273,37.4813526,126.9145868
129,서울시 관악구 난곡로 98,37.4813526,126.9145868
130,서울시 관악구 은천로 80,37.4862877,126.9366782
131,서울시 관악구 봉천로 522,37.4792963,126.9557634
1786,서울시 관악구 신림로 322-1,37.4717526,126.9335068
132,서울시 관악구 신원로 35,37.4817824,126.929469
133,서울시 관악구 남부순환로234길 19,37.4785501,126.9571504
134,서울시 관악구 봉천로12길 54,37.4877402,126.9294704
135,서울시 관악구 낙성대역길 69,37.475045,126.9628275
136,서울시 관악구 봉천로7길 30,37.490786,126.926236
137,서울시 관악구 난곡로 192,37.4813526,126.9145868
138,서울시 관악구 대학길 52,37.4672276,126.9375648
699,서울시 관악구 법원단지길 42,37.4766039,126.9245613
140,서울시 관악구 봉천로 615,37.4757553,126.9655515
141,서울시 관악구 관악로 1,37.46643935,126.9497145
142,서울시 관악구 남부순환로181길 30,37.4854769,126.9307875
143,서울시 관악구 관천로15길 104,37.4862311,126.9161676
144,서울시 관악구 관악로15길 9,37.4803204,126.9510186
145,서울시 관악구 은천로25길 69,37.4887948,126.9493258
146,서울시 관악구 신림로19길 84,37.4671908,126.9357737
147,서울시 관악구 청룡3길 1,37.4808651,126.9462467
148,서울시 관악구 은천로 28,37.4862877,126.9366782
727,서울시 관악구 남현1길 68-6,37.4758604,126.9796072
728,서울시 관악구 조원로18길 24,37.4835251,126.9124127
149,서울시 관악구 남현1길 38-9,37.4756013,126.9797335
150,서울시 관악구 난곡로34길 11,37.4713805,126.9211606
151,서울시 관악구 조원로 123,37.4841938,126.9035672
152,서울시 관악구 중앙1길 10,37.484111,126.9524295
153,서울시 관악구 광신길 104,37.4644945,126.9264346
154,서울시 관악구 관악로14길 63,37.4786611,126.9560686
155,서울시 관악구 신림동길 10,37.4873064,126.9274158
156,서울시 관악구 신림로22길 8,37.4719014,126.9348728
157,서울시 관악구 대학5길 14,37.4692714,126.9397579
158,서울시 관악구 신림로 305,37.4717526,126.9335068
159,서울시 관악구 시흥대로 558,37.4789821,126.8990736
160,서울시 관악구 남부순환로185길 9,37.4852402,126.9323852
161,서울시 관악구 신림로70길 17,37.4876038,126.9304548
162,서울시 관악구 남부순환로161가길 20,37.4848196,126.9165991
163,서울시 관악구 남부순환로246길 18,37.47572815,126.9642316
3646,서울시 관악구 조원중앙로2길 116,37.4812275,126.90761
164,서울시 관악구 난곡로51길 ,37.4780908,126.9140442
165,서울시 관악구 남부순환로161길 ,37.484471,126.9201386
166,서울시 관악구 남부순환로 1944,37.4763201,126.9648104
167,서울시 관악구 문성로 221,37.4792603,126.9273874
168,서울시 관악구 인헌길 36,37.4740005,126.9666808
169,서울시 관악구 시흥대로 548,37.4789821,126.8990736
170,서울시 관악구 관악로 ,37.4852396,126.9558549
171,서울시 관악구 관천로 41,37.4870933,126.9233601
437,서울시 관악구 청룡4길 5,37.48073625,126.9457473
172,서울시 관악구 신림로 312,37.4717526,126.9335068
173,서울시 관악구 청룡길 10,37.4793185,126.9458474
174,서울시 관악구 남부순환로 1600-8,37.4846943,126.9382583
175,서울시 관악구 남부순환로 1964,37.47556115,126.9667991
176,서울시 관악구 난곡로 188,37.4655982,126.9195067
177,서울시 관악구 관악로12길 108,37.47719875,126.9583457
178,서울시 관악구 신림로 340,37.4717526,126.9335068
179,서울시 관악구 양녕로 23,37.4824811,126.9464333
180,서울시 관악구 조원로16길 12,37.4828149,126.9111573
438,서울시 관악구 미성길 ,37.4746953,126.9147586
181,서울시 관악구 쑥고개로 139,37.4780732,126.9395428
182,서울시 관악구 낙성대로 18,37.47698165,126.958773
183,서울시 관악구 봉천로 209,37.482511,126.9492377
184,서울시 관악구 봉천로23길 32,37.4881694,126.9360474
185,서울시 관악구 승방2길 39,37.4757348,126.9809189
186,서울시 관악구 관악로16길 26,37.4801183,126.953875
187,서울시 관악구 관악로 163,37.4852396,126.9558549
188,서울시 관악구 봉천로 456-3,37.482511,126.9492377
189,서울시 관악구 관천로15길 106,37.4862311,126.9161676
190,서울시 관악구 남부순환로 2082-25,37.4760644,126.9810263
191,서울시 관악구 조원로16가길 51,37.4830934,126.9120465
192,서울시 관악구 호암로24길 56,37.4695103,126.9353461
193,서울시 관악구 조원로 99,37.4837353,126.9093755
194,서울시 관악구 남부순환로151길 25,37.4836109,126.9160757
195,서울시 관악구 남부순환로151길 25,37.4836109,126.9160757
196,서울시 관악구 쑥고개로11길 3,37.4798885,126.9424783
197,서울시 관악구 남부순환로143길 29,37.4818138,126.9108314
198,서울시 관악구 조원로4길 40,37.4826945,126.9047336
199,서울시 관악구 신림로59길 24,37.4826274,126.9295951
200,서울시 관악구 남부순환로 1864,37.47945455,126.9567623
201,서울시 관악구 신원로5길 61,37.4825793,126.9270891
202,서울시 관악구 남부순환로224길 13,37.4799561,126.9531645
203,서울시 관악구 남현1길 58,37.4757577,126.9806001
204,서울시 관악구 신림로22길 24,37.4719014,126.9348728
205,서울시 관악구 신림로22길 24,37.4719014,126.9348728
206,서울시 관악구 남부순환로 1740,37.4846943,126.9382583
207,서울시 관악구 은천로 32,37.4862877,126.9366782
208,서울시 관악구 봉천로 262,37.482511,126.9492377
209,서울시 관악구 남부순환로185길 14,37.4852402,126.9323852
219,서울시 관악구 남부순환로 1589,37.4846943,126.9382583
210,서울시 관악구 문성로 225,37.4792603,126.9273874
211,서울시 관악구 신림로 303,37.4717526,126.9335068
212,서울시 관악구 남현1길 66,37.4758604,126.9796072
213,서울시 관악구 남부순환로157길 63,37.4842803,126.9183851
214,서울시 관악구 쑥고개로 139,37.4780732,126.9395428
215,서울시 관악구 조원로 106,37.4841938,126.9035672
216,서울시 관악구 봉천로 217,37.482511,126.9492377
217,서울시 관악구 난곡로 359,37.4813526,126.9145868
218,서울시 관악구 남부순환로 1916,37.4846943,126.9382583
479,서울시 관악구 신림로59길 14,37.4826274,126.9295951
220,서울시 관악구 쑥고개로 55,37.4780732,126.9395428
221,서울시 관악구 관악로 157,37.4852396,126.9558549
222,서울시 관악구 신림로11길 49,37.4656518,126.9389658
223,서울시 관악구 신림로65길 12,37.4850231,126.9283248
224,서울시 관악구 서림1길 5,37.4753429,126.9397831
225,서울시 관악구 신림로 296,37.4717526,126.9335068
226,서울시 관악구 봉천로 353-1,37.482511,126.9492377
227,서울시 관악구 남부순환로 1820,37.48093065,126.9521345
228,서울시 관악구 장군봉1길 50,37.4817471,126.9418111
229,서울시 관악구 남부순환로 1808,37.481064,126.9508864
230,서울시 관악구 호암로24길 41,37.4695103,126.9353461
231,서울시 관악구 관악로 164,37.4795617,126.9527936
232,서울시 관악구 신원로 13,37.4817824,126.929469
233,서울시 관악구 난곡로 347,37.4813526,126.9145868
234,서울시 관악구 관악로11길 20,37.4780218,126.9497348
235,서울시 관악구 신림로32길 14,37.4748415,126.9373604
236,서울시 관악구 조원로12길 70,37.4819851,126.907026
237,서울시 관악구 남부순환로 1595,37.4846943,126.9382583
238,서울시 관악구 봉천로6길 42,37.488445,126.9256108
239,서울시 관악구 관악로 152,37.4852396,126.9558549
240,서울시 관악구 신원로3다길 2,37.4817605,126.9260739
241,서울시 관악구 남부순환로246가길 20,37.4750871,126.9652935
242,서울시 관악구 행운2길 20,37.4800041,126.9580467
243,서울시 관악구 난곡로57길 47,37.4795052,126.9134676
244,서울시 관악구 난곡로57길 47,37.4795052,126.9134676
245,서울시 관악구 난곡로75길 7,37.485675,126.913291
246,서울시 관악구 관악로14가길 6,37.4782569,126.9559979
247,서울시 관악구 남현1길 8,37.4757947,126.9778763
248,서울시 관악구 남부순환로 1661,37.4846943,126.9382583
348,서울시 관악구 관악로 211,37.4852396,126.9558549
249,서울시 관악구 남부순환로 1593-5,37.4846943,126.9382583
250,서울시 관악구 보라매로3길 29,37.4913742,126.9251466
251,서울시 관악구 남현1길 68-22,37.4758604,126.9796072
252,서울시 관악구 관천로11길 151,37.4837674,126.9214037
253,서울시 관악구 신림로 ,37.4717526,126.9335068
254,서울시 관악구 관악로 174,37.4807632,126.9530563
255,서울시 관악구 관악로14길 15,37.4782561,126.9568791
256,서울시 관악구 신림로 121,37.4717526,126.9335068
257,서울시 관악구 신림로 280,37.4717526,126.9335068
258,서울시 관악구 장군봉1길 46,37.4817471,126.9418111
259,서울시 관악구 장군봉1길 ,37.4817471,126.9418111
260,서울시 관악구 은천로 117,37.4862877,126.9366782
261,서울시 관악구 신림로11길 56,37.4656518,126.9389658
262,서울시 관악구 봉천로53길 14,37.4830852,126.9544073
263,서울시 관악구 남부순환로161길 ,37.484471,126.9201386
264,서울시 관악구 신림로 309,37.4717526,126.9335068
265,서울시 관악구 청룡2길 ,37.4814356,126.9448212
266,서울시 관악구 관악로 277,37.4852396,126.9558549
267,서울시 관악구 남부순환로 ,37.4846943,126.9382583
268,서울시 관악구 관악로14길 88,37.4780013,126.9572338
300,서울시 관악구 남부순환로 ,37.4846943,126.9382583
269,서울시 관악구 대학길 ,37.4672276,126.9375648
270,서울시 관악구 남부순환로266길 6,37.4758224,126.9763289
271,서울시 관악구 남부순환로 ,37.4846943,126.9382583
272,서울시 관악구 봉천로 606,37.4758503,126.9644773
273,서울시 관악구 청룡1길 ,37.4811061,126.9476075
274,서울시 관악구 난곡로75길 8,37.485802,126.913229
275,서울시 관악구 봉천로 ,37.482511,126.9492377
3478,서울시 관악구 남부순환로 1598,37.4846943,126.9382583
276,서울시 관악구 신림로 ,37.4717526,126.9335068
277,서울시 관악구 남부순환로 ,37.4846943,126.9382583
278,서울시 관악구 신림로59길 14,37.4826274,126.9295951
279,서울시 관악구 장군봉2길 44,37.4828504,126.9387927
280,서울시 관악구 봉천로 535,37.47891265,126.9574886
281,서울시 관악구 신원로 23,37.4817824,126.929469
282,서울시 관악구 관악로12길 3-12,37.4777259,126.9552387
283,서울시 관악구 관악로 ,37.4852396,126.9558549
284,서울시 관악구 서림길 14,37.4731802,126.9388206
285,서울시 관악구 난곡로65길 ,37.4823048,126.9135067
286,서울시 관악구 양지길 ,37.4715072,126.9295706
287,서울시 관악구 은천로 51,37.4862877,126.9366782
288,서울시 관악구 남현1길 47,37.47598575,126.9801339
289,서울시 관악구 신림로66길 ,37.4855518,126.931203
290,서울시 관악구 신림로68길 ,37.4867434,126.9308639
291,서울시 관악구 은천로 28,37.4862877,126.9366782
292,서울시 관악구 보라매로3길 ,37.4915152,126.9255097
293,서울시 관악구 중앙길 ,37.4833903,126.9542994
294,서울시 관악구 봉천로 ,37.482511,126.9492377
295,서울시 관악구 원신길 ,37.4695302,126.9317679
296,서울시 관악구 봉천로 ,37.482511,126.9492377
297,서울시 관악구 남부순환로 ,37.4846943,126.9382583
298,서울시 관악구 신원로 10,37.4817824,126.929469
299,서울시 관악구 남부순환로 ,37.4846943,126.9382583
312,서울시 관악구 관악로 195,37.4852396,126.9558549
301,서울시 관악구 봉천로 ,37.482511,126.9492377
302,서울시 관악구 호암로24길 ,37.4695103,126.9353461
303,서울시 관악구 보라매로3길 ,37.4915152,126.9255097
304,서울시 관악구 관천로24길 ,37.489028,126.923562
305,서울시 관악구 당곡길 6,37.4910534,126.9284913
306,서울시 관악구 신림로59길 14,37.4826274,126.9295951
307,서울시 관악구 신림로59길 ,37.4826274,126.9295951
308,서울시 관악구 신림로67길 ,37.4859287,126.9281964
309,서울시 관악구 조원로16길 ,37.4828149,126.9111573
310,서울시 관악구 신림동길 32,37.4873064,126.9274158
311,서울시 관악구 보라매로 13,37.4909192,126.9271964
347,서울시 관악구 관악로 ,37.4852396,126.9558549
313,서울시 관악구 관악로16길 ,37.4801183,126.953875
314,서울시 관악구 남부순환로 1591,37.4846943,126.9382583
315,서울시 관악구 호암로22길 69,37.4687475,126.9351718
316,서울시 관악구 남부순환로 ,37.4846943,126.9382583
317,서울시 관악구 봉천로 216,37.482511,126.9492377
318,서울시 관악구 남부순환로246나길 ,37.4748035,126.9650397
319,서울시 관악구 원신길 ,37.4695302,126.9317679
320,서울시 관악구 신림로11길 ,37.4656518,126.9389658
321,서울시 관악구 난곡로 ,37.4813526,126.9145868
322,서울시 관악구 남부순환로 ,37.4846943,126.9382583
323,서울시 관악구 난우길 ,37.4760161,126.917619
324,서울시 관악구 관악로24길 63,37.4855237,126.9572296
325,서울시 관악구 신림로 330,37.48377515,126.9301443
326,서울시 관악구 난우길 35,37.4760161,126.917619
327,서울시 관악구 신원로 ,37.4817824,126.929469
328,서울시 관악구 조원로 ,37.4837353,126.9093755
329,서울시 관악구 장군봉1길 ,37.4817471,126.9418111
330,서울시 관악구 봉천로 ,37.482511,126.9492377
331,서울시 관악구 보라매로3길 7,37.4915152,126.9255097
332,서울시 관악구 신원로3길 ,37.4825793,126.9270891
333,서울시 관악구 청림6길 3,37.4871671,126.959507
334,서울시 관악구 관악로24길 14,37.4855237,126.9572296
335,서울시 관악구 조원중앙로 16,37.4798807,126.9039511
336,서울시 관악구 은천로23길 ,37.4879834,126.9485581
337,서울시 관악구 봉천로 520-1,37.47939905,126.9557641
338,서울시 관악구 대학길 ,37.4672276,126.9375648
339,서울시 관악구 신림로 86,37.4717526,126.9335068
340,서울시 관악구 조원로 158,37.4841938,126.9035672
341,서울시 관악구 호암로22길 ,37.4687475,126.9351718
342,서울시 관악구 남부순환로165길 ,37.484926,126.9228564
343,서울시 관악구 관악로12길 ,37.4777259,126.9552387
344,서울시 관악구 남부순환로 1726,37.4846943,126.9382583
345,서울시 관악구 남부순환로 ,37.4846943,126.9382583
346,서울시 관악구 신림로 ,37.4717526,126.9335068
349,서울시 관악구 남부순환로 ,37.4846943,126.9382583
350,서울시 관악구 남부순환로 ,37.4846943,126.9382583
351,서울시 관악구 신사로14길 30,37.4872557,126.9165701
352,서울시 관악구 남부순환로149길 ,37.4832106,126.9157362
353,서울시 관악구 난곡로26길 59,37.4703471,126.9216412
